date,score,percent
2020-12-21,30.0,42.857142857142854
2020-12-22,20.0,28.57142857142857
2020-12-23,20.0,28.57142857142857
2020-12-24,20.0,28.57142857142857
2020-12-28,20.0,28.57142857142857
2020-12-29,20.0,28.57142857142857
2020-12-30,20.0,28.57142857142857
2020-12-31,40.0,57.14285714285714
2021-01-04,30.0,42.857142857142854
2021-01-05,20.0,28.57142857142857
2021-01-06,50.0,71.42857142857143
2021-01-07,50.0,71.42857142857143
2021-01-08,50.0,71.42857142857143
2021-01-11,40.0,57.14285714285714
2021-01-12,40.0,57.14285714285714
2021-01-13,50.0,71.42857142857143
2021-01-14,30.0,42.857142857142854
2021-01-15,30.0,42.857142857142854
2021-01-19,20.0,28.57142857142857
2021-01-20,50.0,71.42857142857143
2021-01-21,50.0,71.42857142857143
2021-01-22,30.0,42.857142857142854
2021-01-25,30.0,42.857142857142854
2021-01-26,20.0,28.57142857142857
2021-01-27,20.0,28.57142857142857
2021-01-28,20.0,28.57142857142857
2021-01-29,20.0,28.57142857142857
2021-02-01,-10.0,-14.285714285714285
2021-02-02,0.0,0.0
2021-02-03,0.0,0.0
2021-02-04,0.0,0.0
2021-02-05,0.0,0.0
2021-02-08,0.0,0.0
2021-02-09,0.0,0.0
2021-02-10,20.0,28.57142857142857
2021-02-11,20.0,28.57142857142857
2021-02-12,20.0,28.57142857142857
2021-02-16,40.0,57.14285714285714
2021-02-17,40.0,57.14285714285714
2021-02-18,20.0,28.57142857142857
2021-02-19,20.0,28.57142857142857
2021-02-22,30.0,42.857142857142854
2021-02-23,30.0,42.857142857142854
2021-02-24,50.0,71.42857142857143
2021-02-25,30.0,42.857142857142854
2021-02-26,20.0,28.57142857142857
2021-03-01,50.0,71.42857142857143
2021-03-02,20.0,28.57142857142857
2021-03-03,20.0,28.57142857142857
2021-03-04,20.0,28.57142857142857
2021-03-05,30.0,42.857142857142854
2021-03-08,30.0,42.857142857142854
2021-03-09,30.0,42.857142857142854
2021-03-10,70.0,100.0
2021-03-11,60.0,85.71428571428571
2021-03-12,60.0,85.71428571428571
2021-03-15,60.0,85.71428571428571
2021-03-16,60.0,85.71428571428571
2021-03-17,40.0,57.14285714285714
2021-03-18,40.0,57.14285714285714
2021-03-19,30.0,42.857142857142854
2021-03-22,20.0,28.57142857142857
2021-03-23,20.0,28.57142857142857
2021-03-24,20.0,28.57142857142857
2021-03-25,20.0,28.57142857142857
2021-03-26,40.0,57.14285714285714
2021-03-29,40.0,57.14285714285714
2021-03-30,20.0,28.57142857142857
2021-03-31,20.0,28.57142857142857
2021-04-01,20.0,28.57142857142857
2021-04-05,40.0,57.14285714285714
2021-04-06,40.0,57.14285714285714
2021-04-07,40.0,57.14285714285714
2021-04-08,40.0,57.14285714285714
2021-04-09,40.0,57.14285714285714
2021-04-12,40.0,57.14285714285714
2021-04-13,40.0,57.14285714285714
2021-04-14,40.0,57.14285714285714
2021-04-15,40.0,57.14285714285714
2021-04-16,40.0,57.14285714285714
2021-04-19,40.0,57.14285714285714
2021-04-20,30.0,42.857142857142854
2021-04-21,40.0,57.14285714285714
2021-04-22,30.0,42.857142857142854
2021-04-23,30.0,42.857142857142854
2021-04-26,20.0,28.57142857142857
2021-04-27,20.0,28.57142857142857
2021-04-28,30.0,42.857142857142854
2021-04-29,30.0,42.857142857142854
